,Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ
5525,0.9053480809024144,0.4615384615384616,0.1302907279796492,10.7694438886114,106.690455631328,3.0,0,1,1.769759295385021,0.0,1.0,0.0,1.0,0.0
3479,-1.0361439750637471,0.07692307692307693,-1.7072229052631471,10.7765733981852,106.605641773778,3.0,0,0,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
5846,-0.6986692748486453,0.15384615384615385,0.1302907279796492,10.7768893461534,106.65447596527,0.0,1,0,-0.3306552193971129,0.0,0.0,0.0,0.0,1.0
1835,1.373390497564838,0.5384615384615385,0.1302907279796492,10.8358600886007,106.66109683051,0.0,1,0,5.525626877637214,0.0,0.0,0.0,0.0,1.0
4498,1.0601009748869976,0.3076923076923077,0.1302907279796492,10.838877848321,106.648830636088,3.0,0,0,1.0479657854342355,0.0,0.0,0.0,0.0,1.0
1210,-0.7291543745677658,0.15384615384615385,-0.7884660886417492,10.7710554857348,106.643704722429,2.0,0,0,-0.3306552193971129,0.0,0.0,1.0,0.0,0.0
3768,2.1869059540379316,0.15384615384615385,-0.13659775324274978,10.783029226215,106.686796228061,0.0,1,1,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
1095,0.8534664434236847,0.07692307692307693,1.287787426350749,10.8739263042032,106.767648162645,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
3767,-0.04974733457061966,0.15384615384615385,-0.13659775324274978,10.69898,106.6419,0.0,1,1,-0.5962397703258719,0.0,0.0,1.0,0.0,0.0
2328,0.3411414986789205,0.15384615384615385,0.1302907279796492,10.7654724037317,106.663321051459,3.0,0,1,0.30272686033993124,0.0,0.0,0.0,0.0,1.0
3275,0.9053480809024144,0.15384615384615385,0.963530485543728,10.7807912908168,106.79210719153,3.0,0,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
2770,-0.5826509567402912,0.0,-0.7884660886417492,10.8290656930809,106.772948889954,2.0,0,0,-1.265459390571404,0.0,0.0,0.0,0.0,1.0
4939,1.3881753703228958,0.15384615384615385,-0.13659775324274978,10.836193146819996,106.84216655722793,0.0,1,1,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
978,-0.37480406362233243,0.23076923076923078,0.1302907279796492,10.7932242888024,106.687243834243,3.0,0,1,0.11316161425994499,0.0,0.0,1.0,0.0,0.0
4461,3.3349843211458117,0.07692307692307693,-0.13659775324274978,10.7868327038361,106.729760638267,0.0,1,1,3.5748264585073763,0.0,0.0,0.0,1.0,0.0
1412,-2.660414729110742,0.15384615384615385,-0.13659775324274978,10.8084075653761,106.687810652099,0.0,1,1,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
5362,0.1330128034148692,0.15384615384615385,-0.13659775324274978,10.8351927713619,106.683670639215,0.0,1,1,-0.09639304316274322,0.0,1.0,0.0,1.0,0.0
3904,-0.3271071868061051,0.23076923076923078,0.963530485543728,10.6919146667698,106.736218337204,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
3016,-1.6356139825265459,0.07692307692307693,-0.13659775324274978,10.7502657802172,106.631856427016,0.0,1,1,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
5545,-0.15036267557913827,0.15384615384615385,-0.4391709580720064,10.7844734660736,106.650923966714,2.0,0,1,-0.5962397703258719,0.0,0.0,0.0,1.0,0.0
344,0.20022778488202966,0.3076923076923077,-0.13659775324274978,10.7955208927378,106.680124163984,0.0,1,1,1.9355994527483495,0.0,0.0,0.0,0.0,1.0
2451,0.29564637201642957,0.07692307692307693,0.1302907279796492,10.7901211179294,106.589225045521,3.0,0,0,0.6349856886503463,0.0,0.0,0.0,1.0,0.0
911,-1.2831292553680742,0.23076923076923078,-1.7072229052631471,10.8016222564963,106.687612201687,3.0,0,0,-0.3306552193971129,0.0,0.0,1.0,0.0,0.0
2584,0.3707119834879608,0.3076923076923077,0.1302907279796492,10.8006897706791,106.642988836649,3.0,0,1,1.1685438955241836,0.0,0.0,0.0,0.0,1.0
47,1.807979093830051,0.07692307692307693,0.5849971026224333,10.7815421740068,106.527196166558,3.0,0,0,-0.5962397703258719,0.0,0.0,1.0,0.0,0.0
2644,0.4281357043022882,0.23076923076923078,-1.7072229052631471,10.724317878708,106.726464408095,3.0,0,0,0.9196032047928032,0.0,0.0,0.0,1.0,0.0
