Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Duong,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
64.0,3.0,6.0,2.0,1.0,10.8458543270166,106.71825092203,15.481076923082806,17.745664748897063,,0,0,0,0,0,0,13.415466643319103,,,,8.0,7.99013671559904,2.104134154270207
61.0,3.0,20.0,2.0,2.0,10.7055295204486,106.740579826678,17.789285714287892,17.965273189688673,1102.2,0,0,0,0,0,1,14.814529749261077,53.56196697514063,8.746144075485393,37.69007439666122,9.0,8.944530866349506,2.134166441369082
448.0,4.0,18.0,2.0,0.0,10.8083994321884,106.73300967008,38.64743434299875,67.34407750317621,,0,0,0,0,0,1,33.57035834230355,,,,12.0,5.012720439545782,4.3694478524670215
44.0,4.0,11.0,2.0,0.0,10.8416341758951,106.65714157498,11.098013468192365,16.92478578683119,4508.5,0,0,0,0,1,1,19.398358342303553,87.35566152822446,12.644560275036042,0.0,8.0,8.735867532377243,2.066862759472976
24.0,4.0,3.866666666666667,1.0,0.0,10.7667912028474,106.664532103888,24.737276401817315,23.84569045566588,4009.0,0,0,0,0,0,1,37.24377220037603,41.92192566724869,0.0,58.07358443502121,4.0,4.123677885943417,2.624668592163159
40.0,5.0,12.0,2.0,0.0,10.7730943587354,106.676812680575,24.737276401817315,20.454141463799196,1340.0,1,1,1,1,0,1,37.24377220037603,97.21865671641793,0.0,2.779850746268657,7.0,2.672616922576965,2.2300144001592104
61.0,1.0,6.0,2.0,2.0,10.7975883246558,106.696058720532,18.827244701348747,18.832267611843733,970.6,0,0,0,0,0,1,15.939211043540224,0.0,0.5347207912631362,99.46218833711106,3.0,2.462861114675215,2.549445170925571
36.0,3.0,4.0,2.0,2.0,10.8203086496271,106.703651707435,18.827244701348747,16.235786822236673,127.6,1,1,1,0,0,0,11.80123610229299,97.59404388714734,0.0,2.4216300940438873,9.0,4.934774093427065,2.1972245773362196
69.0,5.0,7.6,1.0,0.0,10.7939816368616,106.67445256066,18.635920863560628,16.92478578683119,109.6,1,0,0,0,0,1,18.650669319559206,0.0,0.0,100.0,8.0,3.531312339178443,2.884800712846709
83.0,4.0,4.0,2.0,0.0,10.7514080436114,106.665478182716,28.097694428239997,14.561476341810373,59.9,0,0,0,0,0,1,20.18293300275866,5.609348914858097,0.0,94.40734557595994,9.0,4.755997975215848,3.0204248861443626
250.0,3.0,30.0,2.0,2.0,10.8548959681391,106.767782738074,15.481076923082806,14.588719837704131,,0,0,0,0,0,0,24.900358342303555,,,,7.0,11.402003597599972,3.6635616461296463
57.0,5.0,16.0,2.0,0.0,10.772634613087,106.684148020687,54.466025226590574,15.14978969354972,30.1,0,0,0,0,0,0,45.940547342816785,0.0,0.0,0.0,11.0,1.8891777362994897,3.3603753871419
80.0,2.0,6.0,2.0,2.0,10.7619159051642,106.613613182467,10.737500000137535,7.657431272695933,107.3,1,0,0,0,0,0,14.942196994217577,39.34762348555452,0.0,60.64305684995339,6.0,9.68423289773315,2.0412203288596382
333.0,4.0,30.5,2.0,0.0,10.84037,106.8447,19.05373796668013,22.16312946816002,,0,0,0,0,1,1,19.567814035088464,,,,10.0,17.24035338984533,3.624340932976365
30.0,4.0,4.0,2.0,2.0,10.8061446110829,106.696986486538,18.827244701348747,15.61262583785773,64.5,0,1,0,1,0,1,16.622030583543015,22.54263565891473,0.0,77.45736434108528,8.0,3.3819081247043012,2.134166441369082
43.0,4.0,5.0,2.0,1.0,10.7541800530229,106.647037782567,15.05787481873062,9.25547857079342,61.8,0,0,1,0,0,0,18.40784785066843,27.653721682847895,0.0,72.34627831715211,7.0,6.384628317808435,2.0541237336955462
65.0,3.0,8.0,2.0,0.0,10.7762273257571,106.763921740807,38.64743434299875,37.87994066039128,,1,0,0,0,0,0,15.15269830785317,,,,4.0,6.862318818909097,2.1162555148025524
105.0,4.0,10.0,2.0,0.0,10.7904462146746,106.687663237701,54.466025226590574,107.34764903250246,93.4,0,0,0,0,0,0,25.60064959124056,0.0,0.0,100.0,13.0,2.175899867648923,3.5263605246161616
60.0,1.0,4.5,2.0,0.0,10.7556197145463,106.70755658083,19.389755524315007,15.922894100217071,902.6,0,1,0,0,0,1,15.216681570874057,41.883447817416354,0.0,0.0,3.0,2.3734032767249698,1.790091412127358
95.0,2.0,8.0,2.0,0.0,10.7901211179294,106.589225045521,10.737500000137535,12.045794946779338,308.3,1,0,0,0,0,0,14.069804153681478,0.0,0.0,99.99675640609796,12.0,12.320735786420776,1.824549292051046
145.0,6.0,12.0,2.0,2.0,10.8044387954637,106.625947065558,14.870739305516691,16.856356137984616,833.0,0,1,1,1,1,0,15.906778099669278,0.0,0.0,99.99759903961584,18.0,8.79689856848234,3.258096538021482
