Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Đường_Từ_Địa_Chỉ,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Khoảng giá
333.0,4.0,30.5,10.84037,106.8447,0.0,19.053737403258268,21.65981557903033,,0,0,0,0,1,1,19.567814035091047,,,,,10.0,17.24035338984533,0.0,0.0,0.0,1.0,0.0,36.5
30.0,4.0,4.0,10.8061446110829,106.696986486538,0.0,18.827244701348747,15.61262632367065,64.5,0,1,0,1,0,1,17.40171754184511,22.54263565891473,0.0,0.0,77.45736434108528,8.0,3.3819081247043012,0.0,0.0,0.0,0.0,1.0,7.45
43.0,4.0,5.0,10.7541800530229,106.647037782567,2.0,13.32081849341783,9.674953215540254,61.8,0,0,1,0,0,0,19.709285382510352,27.653721682847895,0.0,0.0,72.34627831715211,7.0,6.384628317808435,0.0,0.0,1.0,0.0,0.0,6.8
65.0,3.0,8.0,10.7762273257571,106.763921740807,3.0,38.647438220481845,32.180605395627865,,1,0,0,0,0,0,20.25050569105691,,,,,4.0,6.862318818909097,0.0,0.0,0.0,1.0,0.0,7.3
105.0,4.0,10.0,10.7904462146746,106.687663237701,3.0,54.46617152529408,106.67729565230768,93.4,0,0,0,0,0,0,20.25050569105691,0.0,0.0,0.0,100.0,13.0,2.175899867648923,0.0,0.0,0.0,1.0,0.0,33.0
60.0,1.0,4.5,10.7556197145463,106.70755658083,0.0,12.968707708226514,15.923197269929185,902.6,0,1,0,0,0,1,20.25050569105691,41.883447817416354,0.0,58.12098382450698,0.0,3.0,2.3734032767249698,0.0,0.0,0.0,1.0,0.0,4.99
95.0,2.0,8.0,10.7901211179294,106.589225045521,3.0,10.737500000006847,13.71334205498395,308.3,1,0,0,0,0,0,20.25050569105691,0.0,0.0,0.0,99.99675640609796,12.0,12.320735786420776,0.0,0.0,0.0,1.0,0.0,5.2
145.0,6.0,12.0,10.8044387954637,106.625947065558,3.0,14.87073929990493,17.8318693459886,833.0,0,1,1,1,1,0,18.85693297468154,0.0,0.0,0.0,99.99759903961584,18.0,8.79689856848234,0.0,0.0,0.0,0.0,1.0,25.0
28.0,4.0,4.1,10.7979424215859,106.710765114834,3.0,18.827244701348747,18.54716240721297,3299.9,0,0,1,0,0,1,20.263535304628697,99.48059032091882,0.3063729203915269,0.0,0.2139458771477923,11.0,2.658494151406354,0.0,0.0,0.0,0.0,1.0,6.89
42.0,2.0,7.0,10.7627757598868,106.686838667875,0.0,53.75818181817839,59.25648860397285,48.0,1,0,0,0,0,1,72.86150756189254,51.29166666666667,0.0,0.0,48.70833333333333,5.0,2.1422413046616593,0.0,0.0,0.0,1.0,0.0,9.8
129.0,3.0,6.0,10.6748473561654,106.698688826558,0.0,8.131668552257471,11.187905093453665,473.6,0,0,1,0,0,1,8.502652923904137,49.668496621621614,0.0,0.0,50.33361486486486,8.0,11.250745184081037,0.0,0.0,0.0,1.0,0.0,6.1
